age,job,default,housing,loan,marital,education,y
57,blue-collar,no,yes,no,married,primary,no
33,services,no,yes,no,married,secondary,no
49,blue-collar,no,yes,no,married,unknown,no
51,management,no,yes,no,married,tertiary,no
60,retired,no,no,no,married,tertiary,no
59,management,no,yes,no,divorced,tertiary,no
55,technician,no,yes,no,married,secondary,no
35,blue-collar,no,yes,yes,single,secondary,no
57,blue-collar,no,yes,yes,married,secondary,no
31,services,no,yes,yes,married,secondary,no
54,management,no,yes,yes,married,secondary,no
55,blue-collar,no,yes,no,married,primary,no
43,technician,no,yes,no,married,secondary,no
53,technician,no,yes,no,married,secondary,no
44,blue-collar,no,no,yes,married,secondary,no
55,services,no,no,no,divorced,secondary,no
49,services,no,yes,yes,divorced,secondary,no
55,services,yes,yes,no,divorced,secondary,no
45,admin.,no,yes,no,single,secondary,no
47,services,no,no,no,divorced,secondary,no
42,technician,no,yes,no,single,secondary,no
59,admin.,no,yes,no,married,secondary,yes
46,self-employed,no,yes,yes,married,tertiary,no
51,blue-collar,no,yes,no,married,primary,no
56,admin.,no,no,no,married,secondary,yes
41,technician,no,yes,no,married,secondary,yes
46,management,no,yes,yes,divorced,secondary,no
57,retired,no,yes,no,married,secondary,no
42,management,no,no,no,single,secondary,no
30,technician,no,yes,yes,married,secondary,no
60,admin.,no,yes,no,married,secondary,no
60,blue-collar,no,yes,no,married,unknown,no
57,entrepreneur,no,no,no,divorced,secondary,no
36,management,no,yes,yes,married,tertiary,no
55,blue-collar,no,no,no,married,secondary,no
60,retired,no,yes,no,married,tertiary,no
39,technician,no,yes,no,married,secondary,no
46,management,no,yes,no,married,tertiary,no
44,blue-collar,no,yes,no,married,secondary,no
53,blue-collar,no,no,no,married,primary,no
52,blue-collar,no,yes,no,married,primary,no
59,blue-collar,no,yes,no,married,primary,no
27,technician,no,yes,no,single,tertiary,no
44,blue-collar,no,yes,no,married,secondary,no
47,technician,no,yes,no,married,tertiary,no
34,admin.,no,no,yes,married,secondary,no
59,retired,no,yes,no,single,secondary,no
45,management,no,yes,no,married,tertiary,no
29,services,no,yes,no,divorced,secondary,no
46,technician,no,no,no,divorced,secondary,no
56,self-employed,no,yes,yes,married,primary,no
36,blue-collar,no,yes,no,married,primary,no
59,retired,no,yes,no,divorced,primary,no
44,blue-collar,no,yes,no,married,secondary,no
41,admin.,no,yes,no,married,secondary,no
33,management,no,yes,no,single,tertiary,no
59,management,no,no,no,divorced,tertiary,no
57,technician,no,no,no,married,primary,no
56,technician,no,yes,no,divorced,unknown,no
51,blue-collar,no,yes,no,married,secondary,no
34,admin.,no,yes,no,married,unknown,no
43,services,no,yes,yes,married,secondary,no
52,technician,no,no,yes,married,tertiary,no
33,technician,no,yes,no,single,secondary,no
29,admin.,no,yes,yes,single,secondary,no
34,services,no,yes,yes,married,secondary,no
31,blue-collar,no,yes,no,married,secondary,no
55,services,no,yes,no,married,secondary,yes
55,management,no,no,no,married,unknown,no
32,admin.,no,yes,no,single,secondary,no
38,technician,no,yes,no,single,secondary,no
55,admin.,no,yes,yes,single,secondary,no
28,unemployed,no,yes,no,single,tertiary,no
23,blue-collar,no,yes,no,married,secondary,no
32,technician,no,yes,no,single,secondary,no
43,services,no,no,no,single,unknown,no
32,blue-collar,no,yes,no,married,secondary,no
46,blue-collar,no,yes,no,married,secondary,no
53,housemaid,no,yes,no,divorced,primary,no
34,self-employed,no,yes,no,single,secondary,no
57,unemployed,no,no,no,married,tertiary,no
37,blue-collar,no,yes,no,married,secondary,no
59,blue-collar,no,yes,no,married,secondary,no
33,services,no,yes,no,married,secondary,no
56,blue-collar,no,yes,no,divorced,primary,no
48,unemployed,no,yes,no,married,secondary,no
43,services,no,yes,no,married,primary,no
54,blue-collar,no,yes,no,married,primary,no
51,blue-collar,no,yes,no,married,unknown,no
26,student,no,yes,no,single,secondary,no
40,management,no,yes,no,married,tertiary,no
39,management,no,yes,no,married,secondary,no
50,technician,no,no,no,married,primary,no
41,services,no,yes,no,married,secondary,no
51,blue-collar,no,yes,no,married,unknown,no
60,retired,no,yes,no,divorced,secondary,no
52,blue-collar,no,yes,no,married,secondary,no
48,blue-collar,no,yes,no,married,secondary,no
48,services,no,yes,no,married,unknown,no
39,technician,no,yes,no,single,tertiary,no
47,services,no,yes,no,single,secondary,no
40,blue-collar,no,yes,no,married,secondary,no
45,technician,no,yes,no,married,secondary,no
26,admin.,no,yes,no,single,secondary,no
52,management,no,yes,no,married,tertiary,no
54,technician,no,yes,no,married,secondary,no
54,admin.,no,no,no,married,tertiary,yes
50,blue-collar,no,no,no,married,primary,no
35,blue-collar,no,yes,no,married,secondary,no
44,services,no,yes,yes,married,secondary,no
53,entrepreneur,no,yes,no,married,unknown,no
35,retired,no,no,no,single,primary,no
60,admin.,no,yes,no,divorced,secondary,no
53,admin.,no,yes,no,divorced,secondary,no
48,unemployed,no,yes,no,married,secondary,no
34,technician,no,yes,no,married,secondary,no
54,services,no,yes,no,married,secondary,no
51,management,no,yes,no,married,secondary,no
31,services,no,yes,no,married,tertiary,no
35,technician,no,yes,no,divorced,secondary,no
35,services,no,yes,no,married,secondary,no
38,technician,no,yes,no,married,secondary,no
36,admin.,no,yes,no,married,tertiary,no
58,retired,no,yes,no,married,primary,no
40,services,no,yes,no,divorced,unknown,no
54,management,no,no,no,married,secondary,no
34,blue-collar,no,yes,yes,single,secondary,no
31,management,no,yes,no,single,tertiary,no
51,retired,no,yes,no,married,secondary,no
33,management,no,yes,no,married,tertiary,no
55,management,no,yes,no,married,tertiary,no
42,admin.,no,yes,no,married,secondary,no
34,blue-collar,no,yes,no,married,secondary,no
33,blue-collar,no,yes,no,single,secondary,no
38,services,no,yes,no,married,secondary,no
50,technician,no,no,yes,divorced,tertiary,no
43,management,no,yes,no,married,tertiary,no
61,blue-collar,no,yes,no,divorced,primary,no
47,admin.,no,yes,no,married,secondary,no
48,self-employed,no,yes,no,married,tertiary,no
44,blue-collar,no,yes,no,married,secondary,no
35,student,no,yes,no,single,unknown,no
35,services,no,yes,no,married,secondary,no
50,services,no,yes,no,married,secondary,no
41,management,no,yes,yes,married,tertiary,no
41,management,no,yes,no,married,tertiary,no
39,services,no,yes,no,single,unknown,no
42,retired,no,yes,no,married,secondary,no
38,blue-collar,no,yes,no,married,secondary,no
53,retired,no,yes,no,married,secondary,no
59,housemaid,no,no,no,divorced,primary,no
36,services,no,yes,no,married,secondary,no
54,blue-collar,no,yes,no,married,primary,no
40,technician,no,yes,no,married,tertiary,no
47,unknown,no,no,no,married,unknown,no
53,unemployed,no,no,no,married,unknown,no
46,housemaid,no,no,no,married,primary,no
39,management,no,yes,yes,married,tertiary,no
40,unemployed,no,yes,no,married,secondary,no
28,blue-collar,no,yes,no,married,primary,no
35,entrepreneur,no,yes,no,divorced,secondary,no
55,retired,no,no,yes,married,secondary,no
43,technician,no,yes,no,divorced,unknown,no
48,blue-collar,no,yes,no,married,primary,no
58,management,no,yes,no,married,unknown,no
33,management,no,yes,no,single,tertiary,no
36,blue-collar,no,no,no,married,unknown,no
53,services,no,yes,no,divorced,secondary,no
47,blue-collar,no,yes,no,married,primary,no
31,services,no,yes,no,married,secondary,no
57,entrepreneur,no,yes,no,married,secondary,no
53,blue-collar,no,no,no,married,unknown,no
55,blue-collar,no,yes,no,married,primary,no
45,blue-collar,no,yes,no,married,primary,no
53,admin.,no,yes,no,divorced,secondary,no
37,blue-collar,no,yes,no,married,primary,no
44,admin.,no,yes,no,divorced,secondary,no
49,blue-collar,no,yes,yes,divorced,primary,no
46,technician,no,yes,yes,married,secondary,no
43,entrepreneur,no,yes,no,married,unknown,no
38,admin.,no,no,no,married,secondary,no
43,technician,no,yes,no,married,secondary,no
49,management,no,yes,no,married,tertiary,no
42,management,no,no,no,married,unknown,no
22,blue-collar,no,yes,no,single,secondary,no
40,management,no,yes,no,married,tertiary,no
39,blue-collar,no,yes,no,married,secondary,no
51,services,no,yes,no,married,secondary,no
49,admin.,no,yes,no,married,secondary,no
53,blue-collar,no,yes,yes,married,secondary,no
34,services,no,yes,no,single,secondary,no
33,technician,no,yes,no,divorced,secondary,no
50,management,no,yes,no,single,tertiary,no
39,blue-collar,no,yes,no,married,primary,no
59,entrepreneur,no,yes,no,divorced,secondary,no
30,technician,no,yes,no,single,secondary,no
36,services,no,yes,yes,married,secondary,no
40,blue-collar,no,yes,no,married,secondary,no
53,blue-collar,no,yes,no,married,secondary,no
34,management,no,yes,no,single,tertiary,no
37,technician,no,yes,no,married,secondary,no
42,management,no,yes,no,divorced,tertiary,no
41,entrepreneur,no,yes,no,married,primary,no
30,student,no,yes,no,single,tertiary,no
37,management,no,yes,no,single,tertiary,no
39,admin.,no,yes,no,divorced,secondary,no
41,blue-collar,no,yes,yes,married,primary,no
40,blue-collar,no,yes,no,married,primary,no
42,management,no,yes,yes,single,tertiary,yes
40,blue-collar,no,yes,no,divorced,primary,no
57,technician,no,yes,no,married,secondary,no
56,entrepreneur,no,no,no,divorced,secondary,no
37,admin.,no,yes,no,married,secondary,no
59,retired,no,yes,no,married,secondary,no
39,services,no,yes,no,divorced,secondary,no
49,services,no,no,no,married,secondary,no
38,services,no,yes,no,single,secondary,no
36,self-employed,no,no,no,married,tertiary,no
50,blue-collar,no,yes,no,married,primary,no
41,admin.,no,yes,yes,married,secondary,no
54,technician,no,no,no,married,tertiary,no
58,blue-collar,no,yes,no,married,primary,no
30,blue-collar,no,yes,no,single,secondary,no
33,admin.,no,yes,no,single,secondary,no
47,admin.,no,yes,no,married,secondary,no
50,technician,no,yes,no,single,tertiary,no
32,blue-collar,no,yes,no,married,secondary,no
40,self-employed,no,yes,no,married,secondary,no
37,management,no,yes,no,married,tertiary,no
54,technician,no,yes,no,single,unknown,no
24,student,no,yes,no,single,secondary,no
54,management,no,no,no,married,tertiary,no
34,technician,no,yes,no,married,secondary,no
56,technician,no,yes,no,divorced,primary,no
31,blue-collar,no,yes,no,single,secondary,no
24,student,no,yes,no,single,secondary,no
42,blue-collar,no,yes,no,divorced,primary,no
57,technician,no,yes,no,married,secondary,no
42,blue-collar,no,yes,no,married,unknown,no
51,admin.,no,yes,no,married,secondary,no
57,retired,no,yes,no,married,secondary,no
36,services,no,yes,no,single,secondary,no
53,services,no,yes,no,married,unknown,no
50,technician,no,yes,no,married,secondary,no
54,management,no,yes,no,married,tertiary,no
55,blue-collar,no,yes,no,married,secondary,no
44,blue-collar,no,yes,yes,married,secondary,no
43,management,no,yes,no,married,unknown,no
56,admin.,no,yes,no,married,secondary,no
54,technician,no,yes,no,married,unknown,no
55,services,no,yes,yes,divorced,primary,no
37,services,no,yes,yes,divorced,secondary,no
33,admin.,no,no,no,single,tertiary,no
46,admin.,no,yes,no,married,secondary,no
36,blue-collar,no,yes,yes,married,secondary,no
51,technician,no,yes,no,single,secondary,no
40,retired,no,no,no,single,primary,no
42,blue-collar,no,yes,no,married,secondary,no
51,blue-collar,no,yes,no,married,secondary,no
49,blue-collar,no,yes,no,married,unknown,no
48,management,no,yes,no,married,secondary,no
32,technician,no,no,no,divorced,tertiary,no
31,admin.,no,yes,no,single,secondary,no
55,management,no,no,no,single,tertiary,no
40,blue-collar,no,yes,no,single,secondary,no
47,technician,no,yes,no,married,tertiary,no
57,technician,no,yes,no,married,unknown,no
41,blue-collar,no,yes,no,married,secondary,no
48,blue-collar,no,no,no,married,secondary,no
42,blue-collar,no,yes,no,married,unknown,no
30,blue-collar,no,yes,no,single,secondary,no
58,management,no,yes,no,single,tertiary,no
45,management,no,yes,no,divorced,tertiary,no
49,blue-collar,no,yes,no,married,secondary,no
42,admin.,no,yes,no,single,secondary,no
53,technician,no,yes,yes,married,secondary,no
51,admin.,yes,no,no,single,secondary,no
32,services,no,yes,no,single,secondary,no
41,blue-collar,no,yes,no,single,secondary,no
43,management,no,yes,no,divorced,secondary,no
40,blue-collar,no,yes,no,divorced,secondary,no
50,blue-collar,no,yes,no,married,primary,no
34,management,no,yes,no,married,tertiary,no
53,services,no,no,no,married,unknown,no
45,technician,no,yes,no,married,secondary,no
39,blue-collar,no,yes,no,married,primary,no
44,services,no,yes,no,married,tertiary,no
55,management,no,yes,no,married,tertiary,no
46,management,no,yes,no,single,tertiary,no
45,blue-collar,no,yes,no,married,secondary,no
34,admin.,no,yes,no,married,secondary,no
36,blue-collar,no,yes,no,married,secondary,no
59,unknown,no,no,no,divorced,unknown,no
31,admin.,no,yes,no,single,secondary,no
44,blue-collar,no,yes,no,single,secondary,no
33,entrepreneur,no,yes,no,single,tertiary,no
40,blue-collar,no,yes,no,married,secondary,no
46,admin.,no,yes,no,single,tertiary,no
48,management,no,yes,no,married,tertiary,no
42,services,no,yes,no,married,secondary,no
27,services,no,yes,no,married,secondary,no
48,admin.,no,yes,yes,married,secondary,no
59,admin.,no,yes,no,married,secondary,no
46,technician,no,yes,no,married,tertiary,no
38,admin.,no,yes,no,divorced,secondary,no
43,management,no,yes,no,divorced,tertiary,no
38,admin.,no,yes,no,divorced,tertiary,no
23,student,no,yes,no,single,secondary,no
34,services,no,yes,no,married,secondary,no
38,admin.,no,yes,yes,married,secondary,no
37,blue-collar,no,no,no,married,secondary,no
25,admin.,no,yes,no,single,secondary,no
48,blue-collar,no,yes,no,married,unknown,no
49,blue-collar,no,yes,no,single,secondary,no
38,admin.,no,no,no,single,secondary,no
43,blue-collar,no,yes,no,married,primary,no
33,management,no,yes,no,married,tertiary,no
55,blue-collar,no,yes,no,married,secondary,no
38,blue-collar,no,yes,no,married,secondary,no
49,services,no,yes,yes,married,secondary,no
40,management,no,no,no,married,secondary,no
43,admin.,no,no,no,married,unknown,no
38,blue-collar,no,yes,no,married,secondary,no
58,services,no,yes,yes,married,secondary,no
57,technician,no,yes,no,married,unknown,no
32,unemployed,no,yes,no,married,secondary,no
56,management,no,yes,yes,married,tertiary,yes
58,blue-collar,no,yes,no,divorced,unknown,no
60,retired,no,yes,no,divorced,secondary,yes
37,technician,no,yes,no,married,tertiary,no
46,technician,no,yes,no,divorced,tertiary,no
27,admin.,no,yes,no,married,secondary,no
43,blue-collar,no,yes,no,married,secondary,no
32,technician,no,yes,yes,single,secondary,no
40,admin.,no,yes,no,single,secondary,no
38,admin.,no,no,no,married,secondary,no
34,blue-collar,no,no,yes,married,secondary,no
47,blue-collar,no,yes,no,married,primary,no
42,housemaid,no,yes,no,married,primary,no
48,technician,no,yes,yes,married,secondary,no
29,self-employed,no,yes,no,single,tertiary,no
50,services,no,yes,no,married,secondary,no
52,technician,no,no,no,married,unknown,no
50,management,no,no,no,married,tertiary,no
58,retired,no,no,no,married,tertiary,no
46,blue-collar,no,yes,no,divorced,primary,no
38,technician,no,yes,no,married,secondary,no
46,blue-collar,no,yes,no,married,secondary,no
32,services,no,yes,no,single,secondary,no
51,blue-collar,no,yes,no,married,primary,no
39,admin.,no,yes,no,single,secondary,no
48,admin.,no,yes,no,married,secondary,no
36,entrepreneur,no,yes,no,married,tertiary,no
34,admin.,no,yes,no,divorced,secondary,no
40,technician,no,no,no,married,secondary,no
43,unemployed,no,yes,no,married,secondary,no
52,blue-collar,no,yes,yes,divorced,primary,no
33,technician,yes,yes,no,married,secondary,no
49,management,no,yes,no,single,tertiary,no
32,management,no,yes,no,single,tertiary,no
39,admin.,no,yes,no,single,secondary,no
40,blue-collar,no,yes,no,married,secondary,no
38,technician,no,yes,no,single,tertiary,no
43,management,no,yes,no,married,secondary,no
39,services,no,yes,no,married,secondary,no
54,blue-collar,no,yes,no,married,primary,no
38,technician,no,yes,no,single,tertiary,no
40,blue-collar,no,yes,no,married,secondary,no
55,admin.,no,yes,no,married,secondary,no
42,management,no,yes,no,married,tertiary,no
39,blue-collar,no,yes,no,married,secondary,no
40,blue-collar,no,yes,no,married,primary,no
32,blue-collar,no,yes,no,married,secondary,no
55,admin.,no,yes,no,married,secondary,no
45,blue-collar,no,no,no,married,secondary,no
35,management,no,yes,no,single,tertiary,no
58,technician,no,no,no,divorced,secondary,no
35,admin.,no,yes,no,married,secondary,no
49,services,no,yes,no,married,primary,no
34,technician,no,yes,no,single,tertiary,no
36,blue-collar,no,yes,no,married,secondary,no
24,self-employed,no,yes,no,single,secondary,no
34,technician,no,yes,no,married,secondary,no
51,admin.,no,yes,no,divorced,secondary,no
39,technician,no,yes,no,single,unknown,yes
50,self-employed,no,yes,no,married,unknown,no
32,services,no,yes,no,single,secondary,no
42,blue-collar,no,yes,no,married,unknown,no
50,technician,no,yes,no,married,secondary,no
40,services,no,no,no,married,secondary,no
46,management,no,yes,no,divorced,unknown,no
37,management,no,yes,yes,married,tertiary,no
34,blue-collar,no,yes,yes,married,secondary,no
44,blue-collar,no,yes,yes,married,secondary,no
40,admin.,no,yes,yes,single,secondary,no
37,technician,no,yes,no,married,secondary,yes
33,blue-collar,yes,no,no,single,secondary,no
35,blue-collar,no,yes,no,married,secondary,no
58,blue-collar,no,no,no,divorced,secondary,no
39,blue-collar,no,yes,no,married,primary,no
43,blue-collar,no,yes,no,married,secondary,no
39,unemployed,no,yes,no,married,primary,no
36,services,no,yes,no,single,primary,no
57,retired,no,no,yes,single,secondary,no
36,admin.,no,yes,no,single,secondary,no
50,blue-collar,no,yes,no,married,primary,no
55,blue-collar,no,yes,no,married,secondary,no
44,self-employed,no,yes,no,married,tertiary,no
44,services,no,yes,no,divorced,secondary,no
39,housemaid,no,yes,no,single,primary,no
46,blue-collar,no,yes,no,married,unknown,no
39,blue-collar,no,yes,no,married,secondary,no
34,admin.,no,no,no,married,secondary,yes
40,blue-collar,no,yes,no,married,primary,no
50,management,no,yes,no,married,tertiary,no
31,management,no,yes,no,single,secondary,no
37,admin.,no,yes,no,single,secondary,no
39,management,no,yes,no,single,secondary,no
51,blue-collar,no,yes,no,married,primary,no
41,technician,no,yes,no,married,secondary,no
41,technician,no,yes,yes,married,secondary,no
43,blue-collar,no,no,no,married,secondary,no
30,services,no,yes,no,single,secondary,no
54,management,no,no,no,divorced,primary,no
43,blue-collar,no,yes,yes,divorced,secondary,no
59,management,no,yes,yes,divorced,tertiary,no
47,technician,no,yes,no,married,unknown,no
40,blue-collar,no,yes,no,married,primary,no
32,technician,no,yes,no,married,secondary,no
29,blue-collar,no,yes,no,married,secondary,no
36,blue-collar,no,yes,no,married,secondary,no
55,unemployed,no,no,no,married,tertiary,no
30,blue-collar,no,yes,no,divorced,secondary,no
39,admin.,no,yes,no,single,secondary,no
39,blue-collar,no,yes,no,divorced,secondary,no
50,blue-collar,no,yes,no,divorced,secondary,no
44,blue-collar,no,yes,no,married,secondary,no
37,technician,no,yes,no,single,secondary,no
46,admin.,no,yes,yes,married,primary,no
32,technician,no,no,no,single,unknown,no
37,management,no,yes,yes,single,tertiary,no
29,blue-collar,no,yes,no,married,secondary,no
41,blue-collar,no,yes,no,married,secondary,no
45,blue-collar,no,yes,no,married,primary,no
57,retired,no,yes,no,divorced,secondary,no
48,blue-collar,no,yes,no,single,secondary,no
60,retired,yes,no,no,married,secondary,no
26,admin.,no,yes,no,single,secondary,no
58,retired,no,yes,no,married,secondary,no
34,admin.,no,yes,no,married,secondary,no
55,unemployed,no,yes,no,divorced,secondary,yes
41,blue-collar,no,yes,yes,married,primary,no
50,management,no,yes,no,divorced,secondary,no
49,entrepreneur,no,yes,yes,married,secondary,no
44,admin.,no,no,yes,married,unknown,no
44,blue-collar,no,yes,no,married,primary,no
31,technician,no,yes,yes,married,secondary,no
34,blue-collar,no,yes,no,single,tertiary,no
46,management,no,yes,no,single,unknown,no
42,management,no,no,no,married,tertiary,no
52,admin.,no,yes,no,married,secondary,no
29,management,no,yes,no,single,tertiary,no
53,retired,no,yes,no,married,primary,no
43,blue-collar,no,yes,no,married,secondary,no
38,management,no,yes,no,married,secondary,no
46,management,no,yes,no,married,tertiary,no
48,management,no,yes,no,divorced,unknown,no
30,admin.,no,yes,yes,divorced,secondary,no
44,blue-collar,no,no,no,married,primary,no
31,housemaid,no,yes,no,married,primary,no
42,services,no,yes,no,single,secondary,no
40,management,no,yes,no,single,tertiary,no
52,admin.,no,yes,no,married,secondary,no
45,blue-collar,no,yes,no,divorced,secondary,no
48,blue-collar,no,yes,no,married,secondary,no
45,blue-collar,no,yes,no,married,primary,no
34,blue-collar,no,yes,no,married,unknown,no
34,blue-collar,no,yes,no,married,primary,no
46,blue-collar,no,yes,no,married,secondary,no
49,services,no,yes,no,divorced,secondary,no
50,technician,no,yes,no,married,primary,no
34,admin.,no,yes,no,single,secondary,no
40,unemployed,no,yes,no,single,secondary,no
36,admin.,no,yes,no,married,secondary,no
59,blue-collar,no,yes,no,divorced,unknown,no
45,blue-collar,no,yes,no,married,secondary,no
36,self-employed,no,yes,no,married,tertiary,no
56,services,no,yes,no,married,secondary,no
42,services,no,yes,yes,divorced,secondary,no
30,admin.,no,yes,no,married,secondary,no
30,student,no,yes,no,single,tertiary,no
47,self-employed,no,yes,no,married,unknown,no
33,blue-collar,no,yes,no,married,secondary,no
36,admin.,no,yes,no,married,secondary,no
39,services,no,yes,no,divorced,primary,no
56,admin.,no,yes,no,divorced,secondary,no
39,blue-collar,no,yes,no,divorced,unknown,no
42,technician,no,yes,no,married,secondary,no
52,blue-collar,no,no,no,married,secondary,no
36,admin.,no,yes,no,divorced,secondary,no
35,entrepreneur,yes,yes,no,married,secondary,no
47,technician,no,yes,no,married,secondary,no
59,services,no,yes,yes,divorced,secondary,no
57,blue-collar,no,yes,yes,married,primary,no
38,management,no,yes,no,married,unknown,no
46,unemployed,no,yes,no,married,secondary,no
34,blue-collar,no,no,no,married,secondary,no
28,services,no,yes,no,single,secondary,yes
38,technician,no,yes,no,married,unknown,no
56,blue-collar,no,yes,no,married,secondary,no
41,blue-collar,yes,yes,yes,single,primary,no
52,technician,no,no,no,married,unknown,no
54,services,no,no,no,married,secondary,no
61,retired,no,yes,yes,married,secondary,no
53,entrepreneur,no,no,no,married,secondary,no
47,technician,no,yes,no,married,secondary,no
53,blue-collar,no,yes,no,married,primary,no
46,services,no,yes,no,married,secondary,no
39,blue-collar,no,yes,yes,divorced,primary,no
56,technician,no,yes,no,divorced,secondary,no
55,services,no,yes,no,divorced,primary,no
44,management,no,yes,no,married,tertiary,no
37,technician,no,yes,no,married,primary,no
35,blue-collar,no,yes,no,married,primary,no
55,blue-collar,no,yes,no,married,secondary,no
37,services,no,yes,no,married,secondary,no
30,technician,no,yes,no,single,secondary,no
37,blue-collar,no,yes,yes,married,primary,no
36,technician,no,yes,no,single,secondary,no
38,technician,no,yes,no,married,secondary,no
41,admin.,no,yes,no,divorced,primary,no
48,retired,no,no,yes,married,secondary,no
55,services,no,yes,no,divorced,secondary,no
28,services,no,no,no,divorced,secondary,no
54,services,yes,yes,no,married,secondary,no
30,blue-collar,no,no,no,married,secondary,no
48,technician,no,no,no,married,tertiary,no
31,self-employed,no,yes,no,married,secondary,no
38,blue-collar,no,yes,no,married,secondary,no
37,blue-collar,no,yes,no,married,secondary,no
37,services,no,yes,no,single,unknown,no
56,blue-collar,no,yes,yes,married,primary,no
51,blue-collar,no,yes,yes,married,secondary,no
39,blue-collar,no,yes,yes,married,secondary,no
49,technician,no,no,no,married,unknown,no
51,blue-collar,no,yes,yes,married,primary,no
43,self-employed,no,yes,no,married,secondary,no
32,services,no,yes,yes,married,secondary,no
29,technician,no,yes,no,single,tertiary,no
48,management,no,yes,no,divorced,tertiary,no
55,services,no,yes,no,married,primary,no
53,blue-collar,no,yes,no,married,secondary,no
47,technician,no,yes,no,married,unknown,no
39,management,no,yes,no,married,tertiary,no
31,blue-collar,no,yes,yes,single,tertiary,no
39,blue-collar,no,yes,no,married,primary,no
40,blue-collar,no,yes,no,married,primary,no
40,technician,no,yes,no,single,unknown,no
48,technician,no,no,no,married,secondary,no
33,technician,no,yes,yes,divorced,secondary,no
40,technician,no,yes,no,married,secondary,no
59,retired,no,yes,no,married,primary,no
30,technician,no,yes,no,married,secondary,yes
31,management,no,yes,no,single,tertiary,no
35,unemployed,no,yes,no,married,secondary,no
54,technician,no,yes,no,divorced,secondary,no
34,admin.,no,yes,no,single,unknown,no
32,technician,no,yes,yes,married,secondary,no
56,admin.,no,yes,no,divorced,unknown,no
32,admin.,no,yes,no,single,tertiary,no
42,blue-collar,no,yes,no,married,primary,no
33,services,no,no,no,married,tertiary,no
52,entrepreneur,no,yes,yes,married,tertiary,no
52,services,no,no,no,married,secondary,no
52,blue-collar,yes,yes,no,divorced,primary,no
30,unemployed,no,yes,no,divorced,secondary,no
44,services,no,yes,no,divorced,secondary,no
35,admin.,no,yes,yes,married,secondary,no
55,management,no,yes,no,single,secondary,no
33,blue-collar,no,yes,no,married,primary,no
37,blue-collar,no,yes,no,single,secondary,no
42,technician,no,yes,no,single,secondary,no
43,unemployed,no,yes,no,married,secondary,no
38,entrepreneur,no,yes,no,married,tertiary,no
37,technician,no,yes,yes,married,secondary,no
31,student,no,yes,no,single,secondary,no
41,management,no,yes,no,married,tertiary,no
41,technician,no,yes,yes,married,secondary,no
29,student,no,yes,no,single,secondary,no
38,admin.,no,yes,no,single,secondary,no
44,self-employed,no,yes,no,divorced,tertiary,no
39,admin.,no,yes,no,married,secondary,no
